shutter_time,counts
0.0115675,47
0.0115787,31
0.0115898,30
0.0116009,39
0.0116121,29
0.0116232,31
0.0116343,42
0.0116455,41
0.0116566,25
0.0116677,34
0.0116789,45
0.01169,39
0.0117011,28
0.0117123,35
0.0117234,37
0.0117345,33
0.0117457,29
0.0117568,38
0.0117679,41
0.0117791,31
0.0117902,46
0.0118013,34
0.0118125,27
0.0118236,33
0.0118347,32
0.0118459,43
0.011857,39
0.0118681,38
0.0118793,41
0.0118904,33
0.0119015,42
0.0119127,38
0.0119238,32
0.0119349,36
0.0119461,29
0.0119572,34
0.0119683,23
0.0119795,30
0.0119906,45
0.0120017,29
0.0120129,28
0.012024,24
0.0120351,26
0.0120463,36
0.0120574,24
0.0120685,27
0.0120797,30
0.0120908,40
0.0121019,24
0.0121131,24
0.0121242,31
0.0121353,45
0.0121465,28
0.0121576,36
0.0121687,19
0.0121799,36
0.012191,35
0.0122021,39
0.0122133,29
0.0122244,30
0.0122355,35
0.0122467,29
0.0122578,37
0.0122689,37
0.0122801,31
0.0122912,36
0.0123023,44
0.0123135,43
0.0123246,41
0.0123357,32
0.0123469,28
0.012358,26
0.0123691,38
0.0123803,20
0.0123914,31
0.0124025,26
0.0124137,35
0.0124248,34
0.0124359,28
0.0124471,35
0.0124582,30
0.0124693,27
0.0124805,31
0.0124916,27
0.0125027,25
0.0125139,34
0.012525,32
0.0125361,24
0.0125473,21
0.0125584,36
0.0125695,37
0.0125807,25
0.0125918,25
0.0126029,25
0.0126141,24
0.0126252,32
0.0126363,36
0.0126475,32
0.0126586,30
0.0126697,39
0.0126809,26
0.012692,24
0.0127031,38
0.0127143,21
0.0127254,21
0.0127365,33
0.0127477,15
0.0127588,43
0.0127699,23
0.0127811,38
0.0127922,27
0.0128033,29
0.0128145,26
0.0128256,36
0.0128367,25
0.0128479,17
0.012859,22
0.0128701,32
0.0128813,30
0.0128924,25
0.0129035,27
0.0129147,31
0.0129258,14
0.0129369,36
0.0129481,23
0.0129592,28
0.0129703,31
0.0129815,32
0.0129926,30
0.0130037,29
0.0130149,28
0.013026,38
0.0130371,38
0.0130483,28
0.0130594,29
0.0130705,37
0.0130817,29
0.0130928,44
0.0131039,35
0.0131151,32
0.0131262,22
0.0131373,28
0.0131485,27
0.0131596,24
0.0131707,40
0.0131819,33
0.013193,35
0.0132041,25
0.0132153,36
0.0132264,41
0.0132375,37
0.0132487,25
0.0132598,25
0.0132709,26
0.0132821,27
0.0132932,18
0.0133043,31
0.0133155,21
0.0133266,27
0.0133377,36
0.0133489,31
0.01336,34
0.0133711,24
0.0133823,24
0.0133934,29
0.0134045,25
0.0134157,20
0.0134268,31
0.0134379,37
0.0134491,26
0.0134602,36
0.0134713,23
0.0134825,31
0.0134936,27
0.0135047,17
0.0135159,32
0.013527,26
0.0135381,25
0.0135493,27
0.0135604,26
0.0135715,25
0.0135827,32
0.0135938,33
0.0136049,31
0.0136161,32
0.0136272,34
0.0136383,7
0.0136495,26
0.0136606,36
0.0136717,25
0.0136829,26
0.013694,20
0.0137051,19
0.0137163,20
0.0137274,31
0.0137385,28
0.0137497,29
0.0137608,25
0.0137719,37
0.0137831,37
0.0137942,26
0.0138053,26
0.0138165,25
0.0138276,24
0.0138387,38
0.0138499,23
0.013861,25
0.0138721,28
0.0138833,21
0.0138944,27
0.0139055,28
0.0139167,33
0.0139278,19
0.0139389,25
0.0139501,28
0.0139612,27
0.0139723,29
0.0139835,25
0.0139946,30
0.0140057,19
0.0140169,30
0.014028,20
0.0140391,26
0.0140503,26
0.0140614,16
0.0140725,27
0.0140837,22
0.0140948,18
0.0141059,35
0.0141171,24
0.0141282,18
0.0141393,38
0.0141505,24
0.0141616,30
0.0141727,27
0.0141839,24
0.014195,30
0.0142061,24
0.0142173,32
0.0142284,21
0.0142395,22
0.0142507,29
0.0142618,32
0.0142729,21
0.0142841,23
0.0142952,25
0.0143063,23
0.0143175,24
0.0143286,20
0.0143397,31
0.0143509,23
0.014362,24
0.0143731,27
0.0143843,19
0.0143954,37
0.0144065,29
0.0144177,22
0.0144288,26
0.0144399,22
0.0144511,20
0.0144622,18
0.0144733,20
0.0144845,29
0.0144956,35
0.0145067,32
0.0145179,20
0.014529,11
0.0145401,19
0.0145513,22
0.0145624,28
0.0145735,28
0.0145847,17
0.0145958,27
0.0146069,26
0.0146181,21
0.0146292,15
0.0146403,24
0.0146515,29
0.0146626,28
0.0146737,36
0.0146849,24
0.014696,22
0.0147071,18
0.0147183,24
0.0147294,27
0.0147405,15
0.0147517,27
0.0147628,20
0.0147739,35
0.0147851,21
0.0147962,25
0.0148073,17
0.0148185,30
0.0148296,20
0.0148407,21
0.0148519,25
0.014863,23
0.0148741,29
0.0148853,22
0.0148964,17
0.0149075,18
0.0149187,34
0.0149298,25
0.0149409,30
0.0149521,23
0.0149632,28
0.0149743,23
0.0149855,22
0.0149966,22
0.0150077,22
0.0150189,24
0.01503,23
0.0150411,27
0.0150523,34
0.0150634,27
0.0150745,21
0.0150857,30
0.0150968,25
0.0151079,34
0.0151191,27
0.0151302,22
0.0151413,17
0.0151525,27
0.0151636,25
0.0151747,18
0.0151859,30
0.015197,29
0.0152081,21
0.0152193,29
0.0152304,30
0.0152415,24
0.0152527,28
0.0152638,14
0.0152749,21
0.0152861,28
0.0152972,16
0.0153083,36
0.0153195,33
0.0153306,24
0.0153417,26
0.0153529,26
0.015364,27
0.0153751,24
0.0153863,28
0.0153974,16
0.0154085,21
0.0154197,14
0.0154308,28
0.0154419,27
0.0154531,31
0.0154642,27
0.0154753,18
0.0154865,22
0.0154976,31
0.0155087,27
0.0155199,12
0.015531,19
0.0155421,26
0.0155533,29
0.0155644,22
0.0155755,23
0.0155867,22
0.0155978,19
0.0156089,30
0.0156201,19
0.0156312,17
0.0156423,16
0.0156535,27
0.0156646,28
0.0156757,25
0.0156869,22
0.015698,19
0.0157091,13
0.0157203,17
0.0157314,23
0.0157425,21
0.0157537,24
0.0157648,28
0.0157759,21
0.0157871,16
0.0157982,20
0.0158093,19
0.0158205,23
0.0158316,26
0.0158427,35
0.0158539,31
0.015865,19
0.0158761,24
0.0158873,25
0.0158984,22
0.0159095,15
0.0159207,16
0.0159318,23
0.0159429,27
0.0159541,14
0.0159652,20
0.0159763,17
0.0159875,27
0.0159986,25
0.0160097,19
0.0160209,17
0.016032,27
0.0160431,22
0.0160543,17
0.0160654,12
0.0160765,20
0.0160877,30
0.0160988,33
0.0161099,23
0.0161211,15
0.0161322,15
0.0161433,27
0.0161545,20
0.0161656,31
0.0161767,12
0.0161879,20
0.016199,21
0.0162101,22
0.0162213,17
0.0162324,23
0.0162435,24
0.0162547,22
0.0162658,24
0.0162769,28
0.0162881,23
0.0162992,16
0.0163103,30
0.0163215,21
0.0163326,22
0.0163437,26
0.0163549,29
0.016366,21
0.0163771,32
0.0163883,21
0.0163994,13
0.0164105,21
0.0164217,26
0.0164328,26
0.0164439,27
0.0164551,35
0.0164662,13
0.0164773,21
0.0164885,27
0.0164996,14
0.0165107,29
0.0165219,25
0.016533,24
0.0165441,17
0.0165553,18
0.0165664,22
0.0165775,22
0.0165887,16
0.0165998,33
0.0166109,20
0.0166221,30
0.0166332,27
0.0166443,20
0.0166555,20
0.0166666,15
0.0166777,7
0.0166889,0
0.0167,0
